player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
753,387994.5000,359228.0000,12400.0000,592.7857,95.7818,14341,193603.5000,180387.0000,4840.0000,20.0000,95.6734,21599,194391.0000,178841.0000,7560.0000,572.7857,95.8897,1620,4
192,387855.0000,359762.0000,11955.0000,389.3588,95.8392,14310,193185.0000,180809.0000,3945.0000,126.8182,95.6358,21630,194670.0000,178953.0000,8010.0000,262.5406,96.0410,1620,6
637,387279.0000,359133.0000,12470.0000,729.4091,95.9523,14182,191457.0000,178930.0000,4770.0000,39.3750,95.9484,21758,195822.0000,180203.0000,7700.0000,690.0341,95.9560,1620,6
648,388561.5000,359864.0000,12975.0000,1536.8819,95.9537,14467,195304.5000,182562.0000,5365.0000,417.0536,96.2226,21473,193257.0000,177302.0000,7610.0000,1119.8283,95.6819,1620,7
550,387661.5000,359694.0000,12475.0000,1342.9188,96.0036,14267,192604.5000,180396.0000,4995.0000,1059.2143,96.2548,21673,195057.0000,179298.0000,7480.0000,283.7045,95.7556,1620,6
900,388588.5000,361027.0000,12110.0000,118.5000,96.0237,14473,195385.5000,183599.0000,4390.0000,4.5000,96.2144,21467,193203.0000,177428.0000,7720.0000,114.0000,95.8308,1620,4
391,387729.0000,360339.0000,12490.0000,991.8458,96.1571,14282,192807.0000,181245.0000,5415.0000,889.2321,96.8118,21658,194922.0000,179094.0000,7075.0000,102.6136,95.5095,1620,7
568,388350.0000,359154.0000,14380.0000,1893.3912,96.1849,14420,194670.0000,181216.0000,6205.0000,260.3750,96.2763,21520,193680.0000,177938.0000,8175.0000,1633.0162,96.0930,1620,12
415,387913.5000,359913.0000,13250.0000,1177.1250,96.1975,14323,193360.5000,181105.0000,5115.0000,331.8750,96.3072,21617,194553.0000,178808.0000,8135.0000,845.2500,96.0885,1620,9
941,388102.5000,359916.0000,13530.0000,574.0617,96.2235,14365,193927.5000,181628.0000,4490.0000,282.8571,95.9730,21575,194175.0000,178288.0000,9040.0000,291.2045,96.4738,1620,8
