player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
753,387994.5000,359077.0000,12330.0000,592.7857,95.7248,14341,193603.5000,180258.0000,4825.0000,20.0000,95.5990,21599,194391.0000,178819.0000,7505.0000,572.7857,95.8501,1620,4
192,387855.0000,359578.0000,11930.0000,389.3588,95.7853,14310,193185.0000,180640.0000,3960.0000,126.8182,95.5561,21630,194670.0000,178938.0000,7970.0000,262.5406,96.0127,1620,6
648,388561.5000,359712.0000,12945.0000,1536.8819,95.9068,14467,195304.5000,182450.0000,5420.0000,417.0536,96.1934,21473,193257.0000,177262.0000,7525.0000,1119.8283,95.6172,1620,7
550,387661.5000,359609.0000,12380.0000,1342.9188,95.9572,14267,192604.5000,180351.0000,4885.0000,1059.2143,96.1743,21673,195057.0000,179258.0000,7495.0000,283.7045,95.7428,1620,6
900,388588.5000,360917.0000,12125.0000,118.5000,95.9992,14473,195385.5000,183473.0000,4405.0000,4.5000,96.1576,21467,193203.0000,177444.0000,7720.0000,114.0000,95.8391,1620,4
637,387279.0000,358991.0000,12910.0000,780.4091,96.0292,14182,191457.0000,178772.0000,5240.0000,90.3750,96.1114,21758,195822.0000,180219.0000,7670.0000,690.0341,95.9489,1620,7
735,387517.5000,360108.0000,12230.0000,785.0000,96.0829,14235,192172.5000,180724.0000,6175.0000,450.0000,97.2559,21705,195345.0000,179384.0000,6055.0000,335.0000,94.9290,1620,6
391,387729.0000,360190.0000,12520.0000,991.8458,96.1264,14282,192807.0000,181105.0000,5375.0000,889.2321,96.7185,21658,194922.0000,179085.0000,7145.0000,102.6136,95.5408,1620,7
568,388350.0000,359021.0000,14365.0000,1893.3912,96.1468,14420,194670.0000,181091.0000,6205.0000,260.3750,96.2121,21520,193680.0000,177930.0000,8160.0000,1633.0162,96.0812,1620,12
415,387913.5000,359775.0000,13220.0000,1177.1250,96.1542,14323,193360.5000,180970.0000,5100.0000,331.8750,96.2296,21617,194553.0000,178805.0000,8120.0000,845.2500,96.0792,1620,9
941,388102.5000,359797.0000,13440.0000,574.0617,96.1697,14365,193927.5000,181517.0000,4445.0000,282.8571,95.8925,21575,194175.0000,178280.0000,8995.0000,291.2045,96.4465,1620,8
634,387463.5000,359381.0000,13370.0000,408.7841,96.2029,14223,192010.5000,179487.0000,5590.0000,174.4091,96.3890,21717,195453.0000,179894.0000,7780.0000,234.3750,96.0200,1620,6
626,387958.5000,359230.0000,14050.0000,265.5769,96.2165,14333,193495.5000,180615.0000,4450.0000,70.0000,95.6431,21607,194463.0000,178615.0000,9600.0000,195.5769,96.7870,1620,7
