player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
753,387994.5000,359113.0000,12400.0000,592.7857,95.7521,14341,193603.5000,180276.0000,4840.0000,20.0000,95.6160,21599,194391.0000,178837.0000,7560.0000,572.7857,95.8877,1620,4
192,387855.0000,359644.0000,11940.0000,389.3588,95.8049,14310,193185.0000,180699.0000,3945.0000,126.8182,95.5788,21630,194670.0000,178945.0000,7995.0000,262.5406,96.0292,1620,6
637,387279.0000,359011.0000,12455.0000,729.4091,95.9169,14182,191457.0000,178814.0000,4770.0000,39.3750,95.8878,21758,195822.0000,180197.0000,7685.0000,690.0341,95.9453,1620,6
648,388561.5000,359746.0000,12975.0000,1536.8819,95.9233,14467,195304.5000,182446.0000,5365.0000,417.0536,96.1632,21473,193257.0000,177300.0000,7610.0000,1119.8283,95.6809,1620,7
550,387661.5000,359603.0000,12475.0000,1342.9188,95.9801,14267,192604.5000,180313.0000,4995.0000,1059.2143,96.2117,21673,195057.0000,179290.0000,7480.0000,283.7045,95.7515,1620,6
900,388588.5000,360908.0000,12095.0000,118.5000,95.9892,14473,195385.5000,183486.0000,4390.0000,4.5000,96.1566,21467,193203.0000,177422.0000,7705.0000,114.0000,95.8199,1620,4
735,387517.5000,360079.0000,12275.0000,785.0000,96.0870,14235,192172.5000,180690.0000,6205.0000,450.0000,97.2538,21705,195345.0000,179389.0000,6070.0000,335.0000,94.9392,1620,6
391,387729.0000,360222.0000,12490.0000,991.8458,96.1269,14282,192807.0000,181136.0000,5415.0000,889.2321,96.7553,21658,194922.0000,179086.0000,7075.0000,102.6136,95.5054,1620,7
568,388350.0000,359008.0000,14380.0000,1893.3912,96.1473,14420,194670.0000,181082.0000,6205.0000,260.3750,96.2074,21520,193680.0000,177926.0000,8175.0000,1633.0162,96.0868,1620,12
415,387913.5000,359784.0000,13250.0000,1177.1250,96.1642,14323,193360.5000,180982.0000,5115.0000,331.8750,96.2435,21617,194553.0000,178802.0000,8135.0000,845.2500,96.0854,1620,9
941,388102.5000,359798.0000,13515.0000,574.0617,96.1893,14365,193927.5000,181514.0000,4475.0000,282.8571,95.9065,21575,194175.0000,178284.0000,9040.0000,291.2045,96.4717,1620,8
87,388831.5000,360505.0000,13700.0000,489.2143,96.2383,14527,196114.5000,183614.0000,5200.0000,249.1071,96.2774,21413,192717.0000,176891.0000,8500.0000,240.1071,96.1986,1620,7
870,387580.5000,359185.0000,13825.0000,678.9505,96.2407,14249,192361.5000,179677.0000,6045.0000,589.4505,96.5484,21691,195219.0000,179508.0000,7780.0000,89.5000,95.9374,1620,9
626,387958.5000,359319.0000,14055.0000,265.5769,96.2407,14333,193495.5000,180721.0000,4495.0000,70.0000,95.7211,21607,194463.0000,178598.0000,9560.0000,195.5769,96.7577,1620,7
202,388714.5000,361128.0000,12995.0000,559.5385,96.2462,14501,195763.5000,183928.0000,5475.0000,102.6923,96.7509,21439,192951.0000,177200.0000,7520.0000,456.8462,95.7342,1620,8
644,387166.5000,359474.0000,13170.0000,596.9565,96.2490,14157,191119.5000,178791.0000,6015.0000,430.0789,96.6966,21783,196047.0000,180683.0000,7155.0000,166.8776,95.8127,1620,9
132,388093.5000,360145.0000,13400.0000,1373.3864,96.2513,14363,193900.5000,181776.0000,5365.0000,970.2500,96.5139,21577,194193.0000,178369.0000,8035.0000,403.1364,95.9890,1620,6
473,387832.5000,360026.0000,13295.0000,1040.5341,96.2583,14305,193117.5000,181146.0000,5670.0000,819.3750,96.7370,21635,194715.0000,178880.0000,7625.0000,221.1591,95.7836,1620,6
96,388219.5000,360189.0000,13505.0000,415.1786,96.2584,14391,194278.5000,182150.0000,5360.0000,353.0769,96.5161,21549,193941.0000,178039.0000,8145.0000,62.1016,96.0003,1620,8
915,388251.0000,360514.0000,13260.0000,278.6039,96.2712,14398,194373.0000,182412.0000,4435.0000,36.8182,96.1281,21542,193878.0000,178102.0000,8825.0000,241.7857,96.4148,1620,7
430,388399.5000,360265.0000,13690.0000,1227.3766,96.2810,14431,194818.5000,182547.0000,4760.0000,662.3162,96.1444,21509,193581.0000,177718.0000,8930.0000,565.0604,96.4186,1620,10
883,388183.5000,361303.0000,12485.0000,202.3427,96.2916,14383,194170.5000,183200.0000,3545.0000,0.0000,96.1758,21557,194013.0000,178103.0000,8940.0000,202.3427,96.4075,1620,5
316,388494.0000,361243.0000,12860.0000,926.3661,96.2957,14452,195102.0000,183506.0000,5320.0000,363.8661,96.7832,21488,193392.0000,177737.0000,7540.0000,562.5000,95.8039,1620,7
56,388611.0000,361302.0000,12925.0000,988.7500,96.2986,14478,195453.0000,183649.0000,5080.0000,40.0000,96.5598,21462,193158.0000,177653.0000,7845.0000,948.7500,96.0343,1620,4
777,388948.5000,361138.0000,13425.0000,991.6071,96.3014,14553,196465.5000,184622.0000,6580.0000,270.3571,97.3209,21387,192483.0000,176516.0000,6845.0000,721.2500,95.2609,1620,8
784,387648.0000,359829.0000,13500.0000,718.5714,96.3062,14264,192564.0000,181059.0000,5335.0000,128.5714,96.7959,21676,195084.0000,178770.0000,8165.0000,590.0000,95.8228,1620,7
414,388647.0000,359843.0000,14525.0000,1110.0865,96.3260,14486,195561.0000,182413.0000,5680.0000,1045.1154,96.1812,21454,193086.0000,177430.0000,8845.0000,64.9712,96.4726,1620,10
432,388102.5000,359673.0000,14230.0000,1363.5673,96.3413,14365,193927.5000,181363.0000,4800.0000,285.0000,95.9962,21575,194175.0000,178310.0000,9430.0000,1078.5673,96.6860,1620,11
173,388156.5000,360527.0000,13430.0000,1170.1330,96.3418,14377,194089.5000,182486.0000,6235.0000,526.4311,97.2340,21563,194067.0000,178041.0000,7195.0000,643.7019,95.4495,1620,10
710,389241.0000,361074.0000,13930.0000,1128.4904,96.3424,14618,197343.0000,184285.0000,5440.0000,757.9904,96.1397,21322,191898.0000,176789.0000,8490.0000,370.5000,96.5508,1620,8
564,387774.0000,359959.0000,13640.0000,1242.2349,96.3445,14292,192942.0000,180897.0000,5310.0000,317.0330,96.5093,21648,194832.0000,179062.0000,8330.0000,925.2019,96.1813,1620,9
651,387247.5000,359235.0000,13885.0000,749.5414,96.3518,14175,191362.5000,178808.0000,6050.0000,253.6607,96.6010,21765,195885.0000,180427.0000,7835.0000,495.8807,96.1084,1620,9
313,387958.5000,359649.0000,14190.0000,623.1402,96.3606,14333,193495.5000,180587.0000,4400.0000,36.8182,95.6027,21607,194463.0000,179062.0000,9790.0000,586.3221,97.1146,1620,9
634,387463.5000,359432.0000,13970.0000,466.6412,96.3709,14223,192010.5000,179581.0000,5650.0000,174.4091,96.4692,21717,195453.0000,179851.0000,8320.0000,292.2321,96.2743,1620,7
872,388696.5000,360376.0000,14240.0000,1079.7229,96.3775,14497,195709.5000,183019.0000,4730.0000,356.6250,95.9325,21443,192987.0000,177357.0000,9510.0000,723.0979,96.8288,1620,10
319,388471.5000,360466.0000,13935.0000,1924.8832,96.3780,14447,195034.5000,182799.0000,6290.0000,1342.0261,96.9516,21493,193437.0000,177667.0000,7645.0000,582.8571,95.7997,1620,10
305,388273.5000,360662.0000,13565.0000,234.0097,96.3823,14403,194440.5000,182719.0000,5230.0000,40.7143,96.6614,21537,193833.0000,177943.0000,8335.0000,193.2955,96.1023,1620,8
185,388561.5000,360867.0000,13675.0000,1133.8102,96.3919,14467,195304.5000,183207.0000,5335.0000,368.9011,96.5375,21473,193257.0000,177660.0000,8340.0000,764.9091,96.2449,1620,8
814,388062.0000,359671.0000,14405.0000,1382.8042,96.3959,14356,193806.0000,181395.0000,6215.0000,423.2308,96.8030,21584,194256.0000,178276.0000,8190.0000,959.5734,95.9898,1620,11
267,388242.0000,360371.0000,13895.0000,947.7554,96.4002,14396,194346.0000,182161.0000,7225.0000,427.1304,97.4479,21544,193896.0000,178210.0000,6670.0000,520.6250,95.3501,1620,9
189,388125.0000,360608.0000,13550.0000,620.3182,96.4014,14370,193995.0000,181925.0000,4815.0000,315.8182,96.2602,21570,194130.0000,178683.0000,8735.0000,304.5000,96.5425,1620,7
601,387540.0000,360041.0000,13555.0000,1696.4107,96.4019,14240,192240.0000,180604.0000,5700.0000,296.0357,96.9122,21700,195300.0000,179437.0000,7855.0000,1400.3750,95.8996,1620,9
234,387180.0000,360142.0000,13170.0000,1400.8189,96.4182,14160,191160.0000,179793.0000,5300.0000,201.7832,96.8262,21780,196020.0000,180349.0000,7870.0000,1199.0357,96.0203,1620,9
401,387522.0000,359692.0000,13960.0000,1282.8239,96.4208,14236,192186.0000,180487.0000,5880.0000,982.5000,96.9722,21704,195336.0000,179205.0000,8080.0000,300.3239,95.8784,1620,9
775,388912.5000,362025.0000,12990.0000,636.2308,96.4266,14545,196357.5000,185408.0000,5125.0000,339.0000,97.0337,21395,192555.0000,176617.0000,7865.0000,297.2308,95.8074,1620,8
815,387994.5000,360426.0000,13710.0000,1168.2842,96.4282,14341,193603.5000,181681.0000,5655.0000,98.6688,96.7627,21599,194391.0000,178745.0000,8055.0000,1069.6154,96.0950,1620,9
829,388152.0000,360747.0000,13550.0000,1517.7202,96.4305,14376,194076.0000,182283.0000,5950.0000,1300.3565,96.9893,21564,194076.0000,178464.0000,7600.0000,217.3636,95.8717,1620,8
268,387828.0000,360423.0000,13585.0000,1067.0962,96.4366,14304,193104.0000,181367.0000,5315.0000,599.3462,96.6743,21636,194724.0000,179056.0000,8270.0000,467.7500,96.2008,1620,8
490,387954.0000,360392.0000,13740.0000,892.6672,96.4372,14332,193482.0000,181641.0000,5350.0000,241.9286,96.6452,21608,194472.0000,178751.0000,8390.0000,650.7386,96.2303,1620,10
182,388282.5000,360352.0000,14105.0000,1298.6477,96.4393,14405,194467.5000,182666.0000,4250.0000,273.7500,96.1168,21535,193815.0000,177686.0000,9855.0000,1024.8977,96.7629,1620,10
209,388431.0000,360616.0000,14000.0000,337.4643,96.4434,14438,194913.0000,182478.0000,5130.0000,60.7143,96.2522,21502,193518.0000,178138.0000,8870.0000,276.7500,96.6360,1620,7
