player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
431,129079.5000,118436.0000,2910.0000,70.0000,94.0087,14173,63778.5000,58837.0000,875.0000,0.0000,93.6240,21767,65301.0000,59599.0000,2035.0000,70.0000,94.3845,522,1
23,129172.5000,118115.0000,3675.0000,21.0000,94.2848,14235,64057.5000,59503.0000,1135.0000,0.0000,94.6618,21705,65115.0000,58612.0000,2540.0000,21.0000,93.9138,515,1
462,129253.5000,118669.0000,3885.0000,68.7500,94.8168,14289,64300.5000,58939.0000,2145.0000,68.7500,94.9977,21651,64953.0000,59730.0000,1740.0000,0.0000,94.6377,523,2
511,129250.5000,118404.0000,4205.0000,329.0000,94.8615,14287,64291.5000,58980.0000,1970.0000,275.0000,94.8026,21653,64959.0000,59424.0000,2235.0000,54.0000,94.9199,512,3
543,129558.0000,118618.0000,4285.0000,212.5000,94.8633,14492,65214.0000,59686.0000,1720.0000,22.5000,94.1608,21448,64344.0000,58932.0000,2565.0000,190.0000,95.5753,535,2
602,129340.5000,119490.0000,3330.0000,0.0000,94.9587,14347,64561.5000,60351.0000,1255.0000,0.0000,95.4222,21593,64779.0000,59139.0000,2075.0000,0.0000,94.4967,526,0
449,129367.5000,119700.0000,3315.0000,75.0000,95.0896,14365,64642.5000,60134.0000,1605.0000,75.0000,95.5084,21575,64725.0000,59566.0000,1710.0000,0.0000,94.6713,533,1
880,129352.5000,119241.0000,3770.0000,51.4286,95.0975,14355,64597.5000,59833.0000,975.0000,0.0000,94.1337,21585,64755.0000,59408.0000,2795.0000,51.4286,96.0590,544,1
852,129520.5000,118974.0000,4315.0000,40.0000,95.1888,14467,65101.5000,60179.0000,1060.0000,0.0000,94.0670,21473,64419.0000,58795.0000,3255.0000,40.0000,96.3225,524,3
766,129465.0000,119354.0000,3885.0000,181.5000,95.1910,14430,64935.0000,59959.0000,1820.0000,142.5000,95.1398,21510,64530.0000,59395.0000,2065.0000,39.0000,95.2425,513,2
784,129511.5000,119306.0000,3980.0000,140.0000,95.1931,14461,65074.5000,61096.0000,1960.0000,135.0000,96.8982,21479,64437.0000,58210.0000,2020.0000,5.0000,93.4711,534,2
874,129447.0000,119401.0000,3825.0000,12.0000,95.1942,14418,64881.0000,60062.0000,1215.0000,0.0000,94.4452,21522,64566.0000,59339.0000,2610.0000,12.0000,95.9468,559,1
710,129069.0000,119179.0000,3790.0000,288.7500,95.2738,14166,63747.0000,59673.0000,1085.0000,0.0000,95.3112,21774,65322.0000,59506.0000,2705.0000,288.7500,95.2374,522,2
649,129642.0000,119182.0000,4335.0000,157.5000,95.2755,14548,65466.0000,60445.0000,1740.0000,15.0000,94.9882,21392,64176.0000,58737.0000,2595.0000,142.5000,95.5684,535,2
716,129297.0000,118572.0000,4645.0000,30.0000,95.2976,14318,64431.0000,59247.0000,1265.0000,0.0000,93.9175,21622,64866.0000,59325.0000,3380.0000,30.0000,96.6685,526,2
218,129355.5000,118684.0000,4590.0000,126.2500,95.2986,14357,64606.5000,60091.0000,2710.0000,81.2500,97.2054,21583,64749.0000,58593.0000,1880.0000,45.0000,93.3960,511,4
120,129489.0000,118693.0000,4710.0000,139.0000,95.3000,14446,65007.0000,60661.0000,1340.0000,0.0000,95.3759,21494,64482.0000,58032.0000,3370.0000,139.0000,95.2235,549,2
145,129084.0000,118480.0000,4555.0000,565.0000,95.3139,14176,63792.0000,58810.0000,1975.0000,460.0000,95.2862,21764,65292.0000,59670.0000,2580.0000,105.0000,95.3409,488,4
265,129571.5000,119112.0000,4405.0000,124.5833,95.3273,14501,65254.5000,60601.0000,2210.0000,89.5833,96.2554,21439,64317.0000,58511.0000,2195.0000,35.0000,94.3856,511,3
430,129399.0000,118130.0000,5265.0000,529.2500,95.3601,14386,64737.0000,59924.0000,2370.0000,23.0000,96.2263,21554,64662.0000,58206.0000,2895.0000,506.2500,94.4929,545,4
225,129543.0000,120126.0000,3425.0000,111.0000,95.3745,14482,65169.0000,61157.0000,1200.0000,0.0000,95.6851,21458,64374.0000,58969.0000,2225.0000,111.0000,95.0601,539,1
237,129481.5000,119346.0000,4150.0000,257.5000,95.3773,14441,64984.5000,60572.0000,1505.0000,30.0000,95.5259,21499,64497.0000,58774.0000,2645.0000,227.5000,95.2277,533,3
724,129588.0000,119096.0000,4520.0000,376.2500,95.3915,14512,65304.0000,60277.0000,1185.0000,0.0000,94.1167,21428,64284.0000,58819.0000,3335.0000,376.2500,96.6866,536,3
