player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
431,129079.5000,118425.0000,2910.0000,70.0000,94.0002,14173,63778.5000,58850.0000,875.0000,0.0000,93.6444,21767,65301.0000,59575.0000,2035.0000,70.0000,94.3477,522,1
23,129172.5000,118125.0000,3660.0000,21.0000,94.2809,14235,64057.5000,59497.0000,1135.0000,0.0000,94.6525,21705,65115.0000,58628.0000,2525.0000,21.0000,93.9154,515,1
543,129558.0000,118561.0000,4260.0000,212.5000,94.8000,14492,65214.0000,59625.0000,1680.0000,22.5000,94.0059,21448,64344.0000,58936.0000,2580.0000,190.0000,95.6049,535,2
462,129253.5000,118669.0000,3910.0000,68.7500,94.8361,14289,64300.5000,58922.0000,2145.0000,68.7500,94.9713,21651,64953.0000,59747.0000,1765.0000,0.0000,94.7023,523,2
511,129250.5000,118433.0000,4220.0000,329.0000,94.8956,14287,64291.5000,59014.0000,1955.0000,275.0000,94.8321,21653,64959.0000,59419.0000,2265.0000,54.0000,94.9584,512,3
602,129340.5000,119471.0000,3430.0000,0.0000,95.0213,14347,64561.5000,60316.0000,1355.0000,0.0000,95.5229,21593,64779.0000,59155.0000,2075.0000,0.0000,94.5214,526,0
784,129511.5000,119271.0000,3910.0000,140.0000,95.1120,14461,65074.5000,61067.0000,1890.0000,135.0000,96.7460,21479,64437.0000,58204.0000,2020.0000,5.0000,93.4618,534,2
880,129352.5000,119277.0000,3755.0000,51.4286,95.1137,14355,64597.5000,59868.0000,990.0000,0.0000,94.2111,21585,64755.0000,59409.0000,2765.0000,51.4286,96.0142,544,1
874,129447.0000,119389.0000,3795.0000,12.0000,95.1617,14418,64881.0000,60020.0000,1200.0000,0.0000,94.3574,21522,64566.0000,59369.0000,2595.0000,12.0000,95.9700,559,1
449,129367.5000,119739.0000,3395.0000,75.0000,95.1816,14365,64642.5000,60160.0000,1605.0000,75.0000,95.5486,21575,64725.0000,59579.0000,1790.0000,0.0000,94.8150,533,1
852,129520.5000,118983.0000,4300.0000,40.0000,95.1842,14467,65101.5000,60185.0000,1060.0000,0.0000,94.0762,21473,64419.0000,58798.0000,3240.0000,40.0000,96.3039,524,3
501,129204.0000,119517.0000,3470.0000,7.5000,95.1882,14256,64152.0000,60054.0000,1135.0000,0.0000,95.3813,21684,65052.0000,59463.0000,2335.0000,7.5000,94.9978,531,1
766,129465.0000,119375.0000,3870.0000,181.5000,95.1956,14430,64935.0000,59981.0000,1820.0000,142.5000,95.1736,21510,64530.0000,59394.0000,2050.0000,39.0000,95.2177,513,2
120,129489.0000,118664.0000,4695.0000,139.0000,95.2660,14446,65007.0000,60643.0000,1325.0000,0.0000,95.3251,21494,64482.0000,58021.0000,3370.0000,139.0000,95.2064,549,2
218,129355.5000,118681.0000,4590.0000,126.2500,95.2963,14357,64606.5000,60107.0000,2710.0000,81.2500,97.2302,21583,64749.0000,58574.0000,1880.0000,45.0000,93.3667,511,4
649,129642.0000,119214.0000,4335.0000,157.5000,95.3001,14548,65466.0000,60476.0000,1740.0000,15.0000,95.0356,21392,64176.0000,58738.0000,2595.0000,142.5000,95.5700,535,2
145,129084.0000,118447.0000,4585.0000,565.0000,95.3116,14176,63792.0000,58764.0000,1990.0000,460.0000,95.2376,21764,65292.0000,59683.0000,2595.0000,105.0000,95.3838,488,4
265,129571.5000,119127.0000,4375.0000,124.5833,95.3157,14501,65254.5000,60630.0000,2210.0000,89.5833,96.2999,21439,64317.0000,58497.0000,2165.0000,35.0000,94.3172,511,3
710,129069.0000,119235.0000,3790.0000,288.7500,95.3172,14166,63747.0000,59689.0000,1070.0000,0.0000,95.3127,21774,65322.0000,59546.0000,2720.0000,288.7500,95.3216,522,2
716,129297.0000,118615.0000,4645.0000,30.0000,95.3309,14318,64431.0000,59297.0000,1265.0000,0.0000,93.9951,21622,64866.0000,59318.0000,3380.0000,30.0000,96.6577,526,2
539,129196.5000,118543.0000,4655.0000,963.7500,95.3571,14251,64129.5000,59385.0000,1295.0000,0.0000,94.6210,21689,65067.0000,59158.0000,3360.0000,963.7500,96.0825,518,3
653,129292.5000,118810.0000,4510.0000,67.0000,95.3806,14315,64417.5000,59780.0000,1730.0000,40.0000,95.4865,21625,64875.0000,59030.0000,2780.0000,27.0000,95.2755,556,3
900,129441.0000,119227.0000,4270.0000,682.1429,95.4079,14414,64863.0000,60270.0000,1695.0000,45.0000,95.5321,21526,64578.0000,58957.0000,2575.0000,637.1429,95.2832,532,3
430,129399.0000,118171.0000,5290.0000,529.2500,95.4111,14386,64737.0000,59957.0000,2395.0000,23.0000,96.3159,21554,64662.0000,58214.0000,2895.0000,506.2500,94.5053,545,4
237,129481.5000,119345.0000,4195.0000,257.5000,95.4113,14441,64984.5000,60568.0000,1505.0000,30.0000,95.5197,21499,64497.0000,58777.0000,2690.0000,227.5000,95.3021,533,3
724,129588.0000,119114.0000,4535.0000,376.2500,95.4170,14512,65304.0000,60281.0000,1185.0000,0.0000,94.1229,21428,64284.0000,58833.0000,3350.0000,376.2500,96.7317,536,3
225,129543.0000,120168.0000,3440.0000,111.0000,95.4185,14482,65169.0000,61207.0000,1200.0000,0.0000,95.7618,21458,64374.0000,58961.0000,2240.0000,111.0000,95.0710,539,1
855,129423.0000,118912.0000,4595.0000,266.4286,95.4289,14402,64809.0000,60321.0000,2295.0000,131.4286,96.6162,21538,64614.0000,58591.0000,2300.0000,135.0000,94.2381,528,3
