player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
565,36001296.0000,32817867.0000,1163795.0000,141039.3772,94.3901,4000864,18003888.0000,16613039.0000,462820.0000,54868.8155,94.8454,5999136,17997408.0000,16204828.0000,700975.0000,86170.5617,93.9347,114161,936
597,35999881.5000,32825095.0000,1160030.0000,132538.0476,94.4034,3999921,17999644.5000,16604439.0000,471465.0000,54647.1429,94.8680,6000079,18000237.0000,16220656.0000,688565.0000,77890.9048,93.9389,114086,922
75,35996023.5000,32814184.0000,1175030.0000,136560.3902,94.4249,3997349,17988070.5000,16585964.0000,467670.0000,54617.6131,94.8052,6002651,18007953.0000,16228220.0000,707360.0000,81942.7771,94.0450,114701,951
558,35998975.5000,32815644.0000,1180335.0000,150688.2738,94.4360,3999317,17996926.5000,16598127.0000,469875.0000,56610.6369,94.8384,6000683,18002049.0000,16217517.0000,710460.0000,94077.6369,94.0336,114602,981
375,35997961.5000,32812536.0000,1183190.0000,148327.8485,94.4379,3998641,17993884.5000,16596201.0000,480280.0000,54134.3988,94.9016,6001359,18004077.0000,16216335.0000,702910.0000,94193.4497,93.9745,114580,981
847,35999233.5000,32810373.0000,1186830.0000,144151.2045,94.4387,3999489,17997700.5000,16589074.0000,479125.0000,60145.2338,94.8354,6000511,18001533.0000,16221299.0000,707705.0000,84005.9708,94.0420,114076,975
228,35996403.0000,32809106.0000,1187005.0000,134873.8176,94.4431,3997602,17989209.0000,16577919.0000,463710.0000,51992.3593,94.7325,6002398,18007194.0000,16231187.0000,723295.0000,82881.4583,94.1539,114994,972
312,35996323.5000,32815175.0000,1182335.0000,136567.0671,94.4472,3997549,17988970.5000,16594708.0000,455090.0000,47369.2381,94.7792,6002451,18007353.0000,16220467.0000,727245.0000,89197.8290,94.1155,114755,972
208,35994663.0000,32817023.0000,1179600.0000,139373.9107,94.4491,3996442,17983989.0000,16590587.0000,467535.0000,58522.3631,94.8517,6003558,18010674.0000,16226436.0000,712065.0000,80851.5476,94.0470,114744,957
255,35998573.5000,32822886.0000,1177645.0000,138784.0579,94.4497,3999049,17995720.5000,16593017.0000,475040.0000,60159.1710,94.8451,6000951,18002853.0000,16229869.0000,702605.0000,78624.8869,94.0544,114926,966
932,36002856.0000,32836367.0000,1169050.0000,138916.1207,94.4520,4001904,18008568.0000,16616137.0000,476295.0000,56881.7500,94.9128,5998096,17994288.0000,16220230.0000,692755.0000,82034.3707,93.9909,114939,931
673,35995741.5000,32815503.0000,1183205.0000,135852.3653,94.4520,3997161,17987224.5000,16590725.0000,455270.0000,48170.3474,94.7672,6002839,18008517.0000,16224778.0000,727935.0000,87682.0179,94.1372,114885,966
201,35995245.0000,32821893.0000,1176475.0000,143140.9784,94.4524,3996830,17985735.0000,16592518.0000,472610.0000,59007.1272,94.8815,6003170,18009510.0000,16229375.0000,703865.0000,84133.8512,94.0239,114707,956
672,36001615.5000,32829130.0000,1176255.0000,143720.0357,94.4552,4001077,18004846.5000,16605231.0000,474680.0000,63114.7857,94.8629,5998923,17996769.0000,16223899.0000,701575.0000,80605.2500,94.0473,114455,954
459,36002550.0000,32813684.0000,1192585.0000,144003.0449,94.4552,4001700,18007650.0000,16601167.0000,465185.0000,58131.9524,94.7728,5998300,17994900.0000,16212517.0000,727400.0000,85871.0925,94.1373,114381,994
122,35998440.0000,32815082.0000,1188100.0000,147678.0774,94.4574,3998960,17995320.0000,16607741.0000,474885.0000,62492.0000,94.9282,6001040,18003120.0000,16207341.0000,713215.0000,85186.0774,93.9868,114259,997
365,36003064.5000,32826059.0000,1181675.0000,142934.1218,94.4579,4002043,18009193.5000,16626404.0000,474960.0000,59069.1012,94.9591,5997957,17993871.0000,16199655.0000,706715.0000,83865.0206,93.9563,114914,976
46,35999992.5000,32814924.0000,1190315.0000,137686.3274,94.4590,3999995,17999977.5000,16597319.0000,469445.0000,55975.5774,94.8155,6000005,18000015.0000,16217605.0000,720870.0000,81710.7500,94.1026,114588,989
157,35999215.5000,32810803.0000,1193750.0000,142157.0197,94.4592,3999477,17997646.5000,16586576.0000,473645.0000,54635.5417,94.7914,6000523,18001569.0000,16224227.0000,720105.0000,87521.4780,94.1270,114309,996
968,36000808.5000,32801908.0000,1204980.0000,135171.1964,94.4615,4000539,18002425.5000,16590952.0000,494615.0000,57212.3344,94.9070,5999461,17998383.0000,16210956.0000,710365.0000,77958.8620,94.0158,114790,1000
929,35998234.5000,32796109.0000,1208890.0000,149929.9524,94.4630,3998823,17994703.5000,16584649.0000,484320.0000,54026.6726,94.8555,6001177,18003531.0000,16211460.0000,724570.0000,95903.2798,94.0706,114544,1020
231,35998659.0000,32830026.0000,1176010.0000,132031.8936,94.4647,3999106,17995977.0000,16607907.0000,459665.0000,53262.1726,94.8410,6000894,18002682.0000,16222119.0000,716345.0000,78769.7209,94.0886,115077,955
388,36002706.0000,32824370.0000,1185805.0000,132455.6997,94.4656,4001804,18008118.0000,16616765.0000,469920.0000,47830.0925,94.8832,5998196,17994588.0000,16207605.0000,715885.0000,84625.6071,94.0477,114777,959
936,35999484.0000,32814469.0000,1192680.0000,151106.0357,94.4657,3999656,17998452.0000,16602132.0000,475515.0000,60586.1071,94.8840,6000344,18001032.0000,16212337.0000,717165.0000,90519.9286,94.0474,114384,998
982,36000267.0000,32823588.0000,1184420.0000,139328.3750,94.4660,4000178,18000801.0000,16602533.0000,470320.0000,55407.7917,94.8450,5999822,17999466.0000,16221055.0000,714100.0000,83920.5833,94.0870,114625,969
