player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
565,36001296.0000,32817918.0000,1164265.0000,141225.3772,94.3916,4000864,18003888.0000,16613086.0000,462820.0000,54868.8155,94.8457,5999136,17997408.0000,16204832.0000,701445.0000,86356.5617,93.9373,114161,937
597,35999881.5000,32825166.0000,1160030.0000,132538.0476,94.4036,3999921,17999644.5000,16604514.0000,471425.0000,54647.1429,94.8682,6000079,18000237.0000,16220652.0000,688605.0000,77890.9048,93.9391,114086,922
75,35996023.5000,32814264.0000,1175045.0000,136560.3902,94.4252,3997349,17988070.5000,16586039.0000,467670.0000,54617.6131,94.8057,6002651,18007953.0000,16228225.0000,707375.0000,81942.7771,94.0451,114701,951
558,35998975.5000,32815774.0000,1180335.0000,150688.2738,94.4363,3999317,17996926.5000,16598210.0000,469875.0000,56610.6369,94.8389,6000683,18002049.0000,16217564.0000,710460.0000,94077.6369,94.0339,114602,981
847,35999233.5000,32810399.0000,1186830.0000,144151.2045,94.4388,3999489,17997700.5000,16589109.0000,479125.0000,60145.2338,94.8356,6000511,18001533.0000,16221290.0000,707705.0000,84005.9708,94.0420,114076,975
375,35997961.5000,32812633.0000,1183440.0000,148327.8485,94.4389,3998641,17993884.5000,16596280.0000,480515.0000,54134.3988,94.9033,6001359,18004077.0000,16216353.0000,702925.0000,94193.4497,93.9747,114580,981
228,35996403.0000,32809223.0000,1187085.0000,134873.8176,94.4436,3997602,17989209.0000,16578045.0000,463750.0000,51992.3593,94.7334,6002398,18007194.0000,16231178.0000,723335.0000,82881.4583,94.1541,114994,972
312,35996323.5000,32815231.0000,1182820.0000,136753.0671,94.4487,3997549,17988970.5000,16594776.0000,455590.0000,47555.2381,94.7823,6002451,18007353.0000,16220455.0000,727230.0000,89197.8290,94.1154,114755,973
208,35994663.0000,32817065.0000,1179585.0000,139373.9107,94.4491,3996442,17983989.0000,16590653.0000,467535.0000,58522.3631,94.8521,6003558,18010674.0000,16226412.0000,712050.0000,80851.5476,94.0468,114744,957
255,35998573.5000,32822944.0000,1177645.0000,138784.0579,94.4498,3999049,17995720.5000,16593072.0000,475040.0000,60159.1710,94.8454,6000951,18002853.0000,16229872.0000,702605.0000,78624.8869,94.0544,114926,966
673,35995741.5000,32815499.0000,1183220.0000,135852.3653,94.4521,3997161,17987224.5000,16590777.0000,455270.0000,48170.3474,94.7675,6002839,18008517.0000,16224722.0000,727950.0000,87682.0179,94.1370,114885,966
932,36002856.0000,32836477.0000,1169120.0000,138916.1207,94.4525,4001904,18008568.0000,16616257.0000,476310.0000,56881.7500,94.9135,5998096,17994288.0000,16220220.0000,692810.0000,82034.3707,93.9911,114939,931
201,35995245.0000,32822093.0000,1176490.0000,143140.9784,94.4530,3996830,17985735.0000,16592692.0000,472625.0000,59007.1272,94.8825,6003170,18009510.0000,16229401.0000,703865.0000,84133.8512,94.0240,114707,956
672,36001615.5000,32829215.0000,1176270.0000,143720.0357,94.4554,4001077,18004846.5000,16605324.0000,474680.0000,63114.7857,94.8634,5998923,17996769.0000,16223891.0000,701590.0000,80605.2500,94.0473,114455,954
459,36002550.0000,32813721.0000,1192650.0000,144003.0449,94.4555,4001700,18007650.0000,16601212.0000,465250.0000,58131.9524,94.7734,5998300,17994900.0000,16212509.0000,727400.0000,85871.0925,94.1373,114381,994
