player_id,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand,buyer_rounds,buyer_bet,buyer_main,buyer_bonus,buyer_grand,buyer_rtp,nonbuyer_rounds,nonbuyer_bet,nonbuyer_main,nonbuyer_bonus,nonbuyer_grand,nonbuyer_rtp,jp_qualified_count,jp_grand_prize_count
565,36001296.0000,32817967.0000,1163780.0000,141039.3772,94.3903,4000864,18003888.0000,16613126.0000,462820.0000,54868.8155,94.8459,5999136,17997408.0000,16204841.0000,700960.0000,86170.5617,93.9346,114161,936
597,35999881.5000,32825190.0000,1160030.0000,132538.0476,94.4037,3999921,17999644.5000,16604522.0000,471465.0000,54647.1429,94.8685,6000079,18000237.0000,16220668.0000,688565.0000,77890.9048,93.9389,114086,922
75,35996023.5000,32814282.0000,1175040.0000,136560.3902,94.4252,3997349,17988070.5000,16586054.0000,467655.0000,54617.6131,94.8057,6002651,18007953.0000,16228228.0000,707385.0000,81942.7771,94.0452,114701,951
558,35998975.5000,32815705.0000,1180335.0000,150688.2738,94.4361,3999317,17996926.5000,16598177.0000,469875.0000,56610.6369,94.8387,6000683,18002049.0000,16217528.0000,710460.0000,94077.6369,94.0337,114602,981
375,35997961.5000,32812621.0000,1183190.0000,148327.8485,94.4382,3998641,17993884.5000,16596275.0000,480280.0000,54134.3988,94.9020,6001359,18004077.0000,16216346.0000,702910.0000,94193.4497,93.9746,114580,981
847,35999233.5000,32810494.0000,1186830.0000,144151.2045,94.4390,3999489,17997700.5000,16589193.0000,479125.0000,60145.2338,94.8361,6000511,18001533.0000,16221301.0000,707705.0000,84005.9708,94.0420,114076,975
228,35996403.0000,32809212.0000,1187005.0000,134873.8176,94.4434,3997602,17989209.0000,16578014.0000,463710.0000,51992.3593,94.7330,6002398,18007194.0000,16231198.0000,723295.0000,82881.4583,94.1540,114994,972
312,35996323.5000,32815257.0000,1182335.0000,136567.0671,94.4474,3997549,17988970.5000,16594777.0000,455090.0000,47369.2381,94.7796,6002451,18007353.0000,16220480.0000,727245.0000,89197.8290,94.1156,114755,972
208,35994663.0000,32817070.0000,1179600.0000,139373.9107,94.4492,3996442,17983989.0000,16590629.0000,467535.0000,58522.3631,94.8519,6003558,18010674.0000,16226441.0000,712065.0000,80851.5476,94.0470,114744,957
255,35998573.5000,32822994.0000,1177630.0000,138784.0579,94.4499,3999049,17995720.5000,16593127.0000,475040.0000,60159.1710,94.8457,6000951,18002853.0000,16229867.0000,702590.0000,78624.8869,94.0543,114926,966
673,35995741.5000,32815579.0000,1183205.0000,135852.3653,94.4522,3997161,17987224.5000,16590794.0000,455270.0000,48170.3474,94.7676,6002839,18008517.0000,16224785.0000,727935.0000,87682.0179,94.1372,114885,966
932,36002856.0000,32836474.0000,1169050.0000,138916.1207,94.4523,4001904,18008568.0000,16616230.0000,476295.0000,56881.7500,94.9133,5998096,17994288.0000,16220244.0000,692755.0000,82034.3707,93.9909,114939,931
201,35995245.0000,32822042.0000,1176475.0000,143140.9784,94.4528,3996830,17985735.0000,16592660.0000,472610.0000,59007.1272,94.8822,6003170,18009510.0000,16229382.0000,703865.0000,84133.8512,94.0239,114707,956
459,36002550.0000,32813765.0000,1192585.0000,144003.0449,94.4554,4001700,18007650.0000,16601240.0000,465185.0000,58131.9524,94.7732,5998300,17994900.0000,16212525.0000,727400.0000,85871.0925,94.1374,114381,994
672,36001615.5000,32829214.0000,1176255.0000,143720.0357,94.4554,4001077,18004846.5000,16605300.0000,474680.0000,63114.7857,94.8632,5998923,17996769.0000,16223914.0000,701575.0000,80605.2500,94.0474,114455,954
122,35998440.0000,32815203.0000,1188100.0000,147678.0774,94.4577,3998960,17995320.0000,16607846.0000,474885.0000,62492.0000,94.9287,6001040,18003120.0000,16207357.0000,713215.0000,85186.0774,93.9869,114259,997
365,36003064.5000,32826211.0000,1181675.0000,142934.1218,94.4583,4002043,18009193.5000,16626547.0000,474960.0000,59069.1012,94.9599,5997957,17993871.0000,16199664.0000,706715.0000,83865.0206,93.9563,114914,976
46,35999992.5000,32814999.0000,1190315.0000,137686.3274,94.4592,3999995,17999977.5000,16597383.0000,469445.0000,55975.5774,94.8158,6000005,18000015.0000,16217616.0000,720870.0000,81710.7500,94.1026,114588,989
